blockIndex,coinbaseReward,timestamp,difficulty,timeBetweenBlocks
0,256000000,1724155724419,1,0
1,256000000,1724155725005,1,586
2,256000000,1724155725583,1,578
3,256000000,1724155726161,1,578
4,256000000,1724155726737,1,576
5,256000000,1724155727328,1,591
6,256000000,1724155727903,1,575
7,256000000,1724155728478,1,575
8,256000000,1724155729053,1,575
9,256000000,1724155729629,1,576
10,256000000,1724155730217,1,588
11,256000000,1724155730797,1,580
12,256000000,1724155731394,1,597
13,256000000,1724155732955,1,1561
14,256000000,1724155733551,1,596
15,256000000,1724155734122,1,571
16,256000000,1724155734712,1,590
17,256000000,1724155735302,1,590
18,256000000,1724155735864,1,562
19,256000000,1724155736444,1,580
20,256000000,1724155737005,1,561
21,256000000,1724155737583,1,578
22,256000000,1724155738494,1,911
23,256000000,1724155739068,1,574
24,256000000,1724155739642,1,574
25,256000000,1724155740205,1,563
26,256000000,1724155740764,1,559
27,256000000,1724155741339,1,575
28,256000000,1724155741927,1,588
29,256000000,1724155742485,1,558
30,256000000,1724155743059,1,574
31,256000000,1724155743646,1,587
32,256000000,1724155744214,1,568
33,256000000,1724155744787,1,573
34,256000000,1724155745361,1,574
35,256000000,1724155745950,1,589
36,256000000,1724155746541,1,591
37,256000000,1724155747164,1,623
38,256000000,1724155747771,1,607
39,256000000,1724155748349,1,578
40,256000000,1724155748924,1,575
41,256000000,1724155749535,1,611
42,256000000,1724155750120,1,585
43,256000000,1724155750706,1,586
44,256000000,1724155751284,1,578
45,256000000,1724155751845,1,561
46,256000000,1724155752465,1,620
47,256000000,1724155753080,1,615
48,256000000,1724155753655,1,575
49,256000000,1724155754244,1,589
50,256000000,1724155754817,1,573
51,256000000,1724155755412,1,595
52,256000000,1724155755992,1,580
53,256000000,1724155756596,1,604
54,256000000,1724155757185,1,589
55,256000000,1724155757759,1,574
56,256000000,1724155758350,1,591
57,256000000,1724155759001,1,651
58,256000000,1724155759607,1,606
59,256000000,1724155760187,1,580
60,256000000,1724155760763,1,576
61,256000000,1724155761346,1,583
62,256000000,1724155761943,1,597
63,256000000,1724155762551,1,608
64,256000000,1724155763128,1,577
65,256000000,1724155763707,1,579
66,256000000,1724155764279,1,572
67,256000000,1724155764853,1,574
68,256000000,1724155765458,1,605
69,256000000,1724155766020,1,562
70,256000000,1724155766656,1,636
71,256000000,1724155767267,1,611
72,256000000,1724155767836,1,569
73,256000000,1724155768400,1,564
74,256000000,1724155768962,1,562
75,256000000,1724155769598,1,636
76,256000000,1724155770516,1,918
77,256000000,1724155771094,1,578
78,256000000,1724155771669,1,575
79,256000000,1724155772250,1,581
80,256000000,1724155772855,1,605
81,256000000,1724155773436,1,581
82,256000000,1724155774005,1,569
83,256000000,1724155774597,1,592
84,256000000,1724155775167,1,570
85,256000000,1724155775792,1,625
86,256000000,1724155776412,1,620
87,256000000,1724155777004,1,592
88,256000000,1724155777595,1,591
89,256000000,1724155778156,1,561
90,256000000,1724155778749,1,593
91,256000000,1724155779332,1,583
92,256000000,1724155779935,1,603
93,256000000,1724155780530,1,595
94,256000000,1724155781141,1,611
95,256000000,1724155781718,1,577
96,256000000,1724155782276,1,558
97,256000000,1724155782886,1,610
98,256000000,1724155783447,1,561
99,256000000,1724155784023,1,576
100,256000000,1724155784601,1,578
101,256000000,1724155785181,1,580
102,256000000,1724155785766,1,585
103,256000000,1724155786324,1,558
104,256000000,1724155786900,1,576
105,256000000,1724155787474,1,574
106,256000000,1724155788047,1,573
107,256000000,1724155788623,1,576
108,256000000,1724155789184,1,561
109,256000000,1724155789760,1,576
110,256000000,1724155790335,1,575
111,256000000,1724155790902,1,567
112,256000000,1724155791474,1,572
113,256000000,1724155792036,1,562
114,256000000,1724155792610,1,574
115,256000000,1724155793184,1,574
116,256000000,1724155793760,1,576
117,256000000,1724155794333,1,573
118,256000000,1724155794909,1,576
119,256000000,1724155795484,1,575
120,256000000,1724155796045,1,561
121,256000000,1724155796627,1,582
122,256000000,1724155797194,1,567
123,256000000,1724155797757,1,563
124,256000000,1724155798331,1,574
125,256000000,1724155798892,1,561
126,256000000,1724155799481,1,589
127,256000000,1724155800059,1,578
128,256000000,1724155800638,1,579
129,256000000,1724155801211,1,573
130,256000000,1724155801789,1,578
131,256000000,1724155802374,1,585
132,256000000,1724155802942,1,568
133,256000000,1724155803505,1,563
134,256000000,1724155804068,1,563
135,256000000,1724155804638,1,570
136,256000000,1724155805213,1,575
137,256000000,1724155805789,1,576
138,256000000,1724155806366,1,577
139,256000000,1724155806954,1,588
140,256000000,1724155807856,1,902
141,256000000,1724155808442,1,586
142,256000000,1724155809028,1,586
143,256000000,1724155809604,1,576
144,256000000,1724155810181,1,577
145,256000000,1724155810747,8,566
146,256000000,1724155811307,8,560
147,256000000,1724155811868,8,561
148,256000000,1724155812430,8,562
149,256000000,1724155813007,8,577
150,256000000,1724155813600,8,593
151,256000000,1724155814196,8,596
152,256000000,1724155815105,8,909
153,256000000,1724155816040,8,935
154,256000000,1724155816600,8,560
155,256000000,1724155817500,8,900
156,256000000,1724155818075,8,575
157,256000000,1724155818634,8,559
158,256000000,1724155819534,8,900
159,256000000,1724155820098,8,564
160,256000000,1724155820658,8,560
161,256000000,1724155821225,8,567
162,256000000,1724155822446,8,1221
163,256000000,1724155823034,8,588
164,256000000,1724155823627,8,593
165,256000000,1724155824188,8,561
166,256000000,1724155824750,8,562
167,256000000,1724155825688,8,938
168,256000000,1724155826260,8,572
169,256000000,1724155827161,8,901
170,256000000,1724155827735,8,574
171,256000000,1724155828639,8,904
172,256000000,1724155829211,8,572
173,256000000,1724155829785,8,574
174,256000000,1724155830363,8,578
175,256000000,1724155831267,8,904
176,256000000,1724155831855,8,588
177,256000000,1724155832415,8,560
178,256000000,1724155832976,8,561
179,256000000,1724155833552,8,576
180,256000000,1724155834110,8,558
181,256000000,1724155834718,8,608
182,256000000,1724155835286,8,568
183,256000000,1724155835857,8,571
184,256000000,1724155836763,8,906
185,256000000,1724155837326,8,563
186,256000000,1724155838226,8,900
187,256000000,1724155838805,8,579
188,256000000,1724155839364,8,559
189,256000000,1724155839939,8,575
190,256000000,1724155840516,8,577
191,256000000,1724155841435,8,919
192,256000000,1724155842009,8,574
193,256000000,1724155842573,8,564
194,256000000,1724155843153,8,580
195,256000000,1724155843728,8,575
196,256000000,1724155844302,8,574
197,256000000,1724155844878,8,576
198,256000000,1724155845777,8,899
199,256000000,1724155846353,8,576
200,256000000,1724155846926,8,573
201,256000000,1724155847510,8,584
202,256000000,1724155848425,8,915
203,256000000,1724155849001,8,576
204,256000000,1724155849920,8,919
205,256000000,1724155850500,8,580
206,256000000,1724155851076,8,576
207,256000000,1724155851650,8,574
208,256000000,1724155852225,8,575
209,256000000,1724155852810,8,585
210,256000000,1724155853701,8,891
211,256000000,1724155854281,8,580
212,256000000,1724155854868,8,587
213,256000000,1724155855444,8,576
214,256000000,1724155856022,8,578
215,256000000,1724155857568,8,1546
216,256000000,1724155858465,8,897
217,256000000,1724155859040,8,575
218,256000000,1724155859615,8,575
219,256000000,1724155860190,8,575
220,256000000,1724155860771,8,581
221,256000000,1724155861352,8,581
222,256000000,1724155861921,8,569
223,256000000,1724155862496,8,575
224,256000000,1724155863083,8,587
225,256000000,1724155863657,8,574
226,256000000,1724155864250,8,593
227,256000000,1724155864822,8,572
228,256000000,1724155866391,8,1569
229,256000000,1724155867324,8,933
230,256000000,1724155868538,8,1214
231,256000000,1724155869139,8,601
232,256000000,1724155870073,8,934
233,256000000,1724155871721,8,1648
234,256000000,1724155872311,8,590
235,256000000,1724155872885,8,574
236,256000000,1724155873458,8,573
237,256000000,1724155874035,8,577
238,256000000,1724155874954,8,919
239,256000000,1724155875546,8,592
240,256000000,1724155876448,8,902
241,256000000,1724155877374,8,926
242,256000000,1724155878007,8,633
243,256000000,1724155878985,8,978
244,256000000,1724155880261,8,1276
245,256000000,1724155880898,8,637
246,256000000,1724155881471,8,573
247,256000000,1724155882388,8,917
248,256000000,1724155882981,8,593
249,256000000,1724155884217,8,1236
250,256000000,1724155885447,8,1230
251,256000000,1724155886044,8,597
252,256000000,1724155886616,8,572
253,256000000,1724155887207,8,591
254,256000000,1724155887777,8,570
255,256000000,1724155888351,8,574
256,256000000,1724155888930,8,579
257,256000000,1724155889504,8,574
258,256000000,1724155890080,8,576
259,256000000,1724155890985,8,905
260,256000000,1724155891561,8,576
261,256000000,1724155892484,8,923
262,256000000,1724155893053,8,569
263,256000000,1724155893955,8,902
264,256000000,1724155894534,8,579
265,256000000,1724155895108,8,574
266,256000000,1724155895994,8,886
267,256000000,1724155896571,8,577
268,256000000,1724155897164,8,593
269,256000000,1724155897741,8,577
270,256000000,1724155898643,8,902
271,256000000,1724155899221,8,578
272,256000000,1724155899808,8,587
273,256000000,1724155900385,8,577
274,256000000,1724155901274,8,889
275,256000000,1724155901867,8,593
276,256000000,1724155902445,8,578
277,256000000,1724155903024,8,579
278,256000000,1724155903928,8,904
279,256000000,1724155904501,8,573
280,256000000,1724155905717,8,1216
281,256000000,1724155906299,8,582
282,256000000,1724155906886,8,587
283,256000000,1724155907481,8,595
284,256000000,1724155908059,8,578
285,256000000,1724155908640,8,581
286,256000000,1724155909550,8,910
287,256000000,1724155910453,8,903
288,256000000,1724155911032,8,579
289,256000000,1724155911639,14,607
290,256000000,1724155912238,14,599
291,256000000,1724155913172,14,934
292,256000000,1724155913791,14,619
293,256000000,1724155914380,14,589
294,256000000,1724155915268,14,888
295,256000000,1724155916167,14,899
296,256000000,1724155917055,14,888
297,256000000,1724155917962,14,907
298,256000000,1724155918541,14,579
299,256000000,1724155919102,14,561
300,256000000,1724155919991,14,889
301,256000000,1724155920904,14,913
302,256000000,1724155921474,14,570
303,256000000,1724155922062,14,588
304,256000000,1724155922625,14,563
305,256000000,1724155923201,14,576
306,256000000,1724155923778,14,577
307,256000000,1724155924346,14,568
308,256000000,1724155924926,14,580
309,256000000,1724155925818,14,892
310,256000000,1724155926724,14,906
311,256000000,1724155927977,14,1253
312,256000000,1724155929204,14,1227
313,256000000,1724155931065,14,1861
314,256000000,1724155931638,14,573
315,256000000,1724155932544,14,906
316,256000000,1724155933445,14,901
317,256000000,1724155934031,14,586
318,256000000,1724155934592,14,561
319,256000000,1724155935168,14,576
320,256000000,1724155936070,14,902
321,256000000,1724155937304,14,1234
322,256000000,1724155939497,14,2193
323,256000000,1724155940398,14,901
324,256000000,1724155940972,14,574
325,256000000,1724155941551,14,579
326,256000000,1724155942441,14,890
327,256000000,1724155943346,14,905
328,256000000,1724155944590,14,1244
329,256000000,1724155945526,14,936
330,256000000,1724155946113,14,587
331,256000000,1724155946696,14,583
332,256000000,1724155947640,14,944
333,256000000,1724155948217,14,577
334,256000000,1724155948788,14,571
335,256000000,1724155949356,14,568
336,256000000,1724155949948,14,592
337,256000000,1724155950527,14,579
338,256000000,1724155951758,14,1231
339,256000000,1724155952348,14,590
340,256000000,1724155953579,14,1231
341,256000000,1724155954818,14,1239
342,256000000,1724155956366,14,1548
343,256000000,1724155956942,14,576
344,256000000,1724155957516,14,574
345,256000000,1724155958096,14,580
346,256000000,1724155958672,14,576
347,256000000,1724155959257,14,585
348,256000000,1724155960162,14,905
349,256000000,1724155961393,14,1231
350,256000000,1724155962305,14,912
351,256000000,1724155962884,14,579
352,256000000,1724155963466,14,582
353,256000000,1724155964040,14,574
354,256000000,1724155964620,14,580
355,256000000,1724155965197,14,577
356,256000000,1724155965768,14,571
357,256000000,1724155966347,14,579
358,256000000,1724155966920,14,573
359,256000000,1724155967495,14,575
360,256000000,1724155968406,14,911
361,256000000,1724155968971,14,565
362,256000000,1724155969540,14,569
363,256000000,1724155970120,14,580
364,256000000,1724155971007,14,887
365,256000000,1724155971920,14,913
366,256000000,1724155972509,14,589
367,256000000,1724155973085,14,576
368,256000000,1724155973674,14,589
369,256000000,1724155974250,14,576
370,256000000,1724155975155,14,905
371,256000000,1724155975735,14,580
372,256000000,1724155976317,14,582
373,256000000,1724155976893,14,576
374,256000000,1724155977814,14,921
375,256000000,1724155978423,14,609
376,256000000,1724155979017,14,594
377,256000000,1724155979574,14,557
378,256000000,1724155980153,14,579
379,256000000,1724155981067,14,914
380,256000000,1724155981974,14,907
381,256000000,1724155982867,14,893
382,256000000,1724155983454,14,587
383,256000000,1724155984668,14,1214
384,256000000,1724155985261,14,593
385,256000000,1724155985838,14,577
386,256000000,1724155986396,14,558
387,256000000,1724155986976,14,580
388,256000000,1724155987555,14,579
389,256000000,1724155988132,14,577
390,256000000,1724155988707,14,575
391,256000000,1724155989972,14,1265
392,256000000,1724155990565,14,593
393,256000000,1724155991142,14,577
394,256000000,1724155992376,14,1234
